Molng,LibID,Barcode,resultPaths,sampleName,genomeVersion,speciesName,requestingDepartment,orderType,BamPath,QcReport,FcPath
MOLNG-4446,L78364,bc2059,/n/analysis/Gibson/hh2891/MOLNG-4446/EA238656/,Nv_Male,Nvec200,Nematostella vectensis (Nvec200),Gibson Lab,PacBio - HiFi DNA,/n/analysis/technology/revio/r84222_20250930_155037/1_C01/hifi_reads/m84222_250930_200428_s3.hifi_reads.bc2059.bam,/n/analysis/technology/revio/r84222_20250930_155037/1_C01/statistics/m84222_250930_200428_s3.report.pdf,/n/analysis/technology/revio/r84222_20250930_155037/1_C01
MOLNG-4446,L78365,bc2060,/n/analysis/Gibson/hh2891/MOLNG-4446/EA238656/,Nv_Female,Nvec200,Nematostella vectensis (Nvec200),Gibson Lab,PacBio - HiFi DNA,/n/analysis/technology/revio/r84222_20250930_155037/1_C01/hifi_reads/m84222_250930_200428_s3.hifi_reads.bc2060.bam,/n/analysis/technology/revio/r84222_20250930_155037/1_C01/statistics/m84222_250930_200428_s3.report.pdf,/n/analysis/technology/revio/r84222_20250930_155037/1_C01
